SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,
WCN00700402,CN007,China,Fuhua,CTW225003S,Woven,,,Twill,nylon,100,,,,,100,157,GSM,144,CM,22.1,3.40,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Nylon,,,,,,Other,oz/sy,cm,rayon ,
WCN00700403,CN007,China,Fuhua,CQO113001S,Woven,,,other,polyester,100,,,,,100,101,GSM,145,CM,12.5,1.92,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,,
WCN00700404,CN007,China,Fuhua,CNT133009S,Woven,,,other,Nylon,91,Polyolefin,10,,,100,64,GSM,125,CM,20.6,3.17,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,90.5%Nylon9.5%Polyolefin,,,,,,,,,,
WCN00700405,CN007,China,Fuhua,XTD125005S,Woven,,,other,Nylon,75,Poly,26,,,100,123,GSM,144,CM,16.6,2.55,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,74.5%Nylon28.5%Poly,,,,,,,,,,
WCN00700406,CN007,China,Fuhua,CNT040005S,Woven,,,other,Nylon,100,,,,,100,38,GSM,143,CM,14.5,2.23,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Nylon,,,,,,,,,,
WCN00700407,CN007,China,Fuhua,CND172001S,Woven,,,other,Nylon,100,,,,,100,120,GSM,145,CM,36,5.54,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Nylon,,,,,,,,,,
WCN00700408,CN007,China,Fuhua,CPT336000S,Woven,,,other,polyester,87,Spandex,13,,,100,141,GSM,141,CM,34.4,5.29,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,87%Poly13%Spandex,,,,,,,,inches,cotton,
WCN00700409,CN007,China,Fuhua,XPD125002S,Woven,,,other,polyester,90,Spandex,10,,,100,140,GSM,170,CM,19.3,2.97,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,90%Poly10%Spandex,,,,,,,,,,
WCN00700410,CN007,China,Fuhua,XQT131002S,Woven,,,other,polyester,100,,,,,100,100,GSM,143,CM,13.7,2.11,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,,
WCN00700411,CN007,China,Fuhua,CNT040001S,Woven,,,other,Nylon,100,,,,,100,27,GSM,145,CM,15.8,2.43,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Nylon,,,,,,,,,,
