SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD）,Cost UOM,Used when Cost in RMB/kg or RMB/yd is know to convert to USD/Mtr,Unit,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,,,,,,,,,,,,
KCN04800748,CN048,China,Hong do,15HDYPJ381,Knit,circular,,Fleece,polyester,100,,,,,100,255,gsm,160,CM,,2.30,yard,,,Mill,0,kg,20,kg,20kg/color,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04800749,CN048,China,Hong do,15HDYPJ373,Knit,circular,,Jersey,nylon,85,spandex,15,,,100,280,gsm,160,CM,,6.00,yard,,,Mill,0,kg,20,kg,20kg/color,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04900497,CN049,China,Yinghong,B219,Knit,warp,,mesh,polyester,100,,,,,100,90,GSM,160,CM,25,3.85,kg,0.55,meter,Mill,0,kg,100,kg,"100kg/color, running greige",yes,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04900498,CN049,China,Yinghong,A010,Knit,warp,,mesh,polyester,100,,,,,100,135,gsm,180,CM,25,3.85,kg,0.94,meter,Mill,0,kg,100,kg,"100kg/color, running greige",yes,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04900499,CN049,China,Yinghong,A027,Knit,warp,,mesh,polyester,100,,,,,100,210,gsm,160,CM,25,3.85,kg,1.29,meter,Mill,0,kg,100,kg,"100kg/color, running greige",yes,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04900500,CN049,China,Yinghong,A012,Knit,warp,,mesh,polyester,100,,,,,100,190,GSM,180,CM,25,3.85,kg,1.32,meter,Mill,0,kg,100,kg,"100kg/color, running greige",yes,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04900501,CN049,China,Yinghong,B202,Knit,warp,,mesh,polyester,100,,,,,100,105,GSM,170,CM,25,3.85,kg,0.69,meter,Mill,0,kg,100,kg,"100kg/color, running greige",yes,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04900502,CN049,China,Yinghong,A009,Knit,warp,,mesh,polyester,100,,,,,100,140,GSM,180,CM,25,3.85,kg,0.97,meter,Mill,0,kg,100,kg,"100kg/color, running greige",yes,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04900640,CN049,China,Yinghong,A191,Knit,warp,,Mesh,polyester,100,,,,,100,95,GSM,160,CM,25,3.85,kg,0.58,METER,Stock,0,,0,,"stock fabric with color card, MCQ 25KG/roll",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN05000503,CN050,China,YuanWei Market,1655,Knit,circular,,Loop knit,Cotton,90,polyester,10,,,100,250,GSM,185,CM,55,8.46,kg,3.91,meter,Stock,0,,0,,"stock fabric, have color cards",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN05100511,CN051,China,ShengTai,0236#,Knit,circular,,Loop knit,rayon ,65,polyester,32,spandex,3,100,235,GSM,165,CM,47,7.23,kg,2.80,meter,Stock,0,,0,,"stock fabric, have color cards",No,,65%rayon 32%polyester3%spandex,,,,,,,,,,,,,,,,,,,,,,,
KCN05200512,CN052,China,Zhongtian,8311#,Knit,circular,,slub jersey,Cotton,100,,,,,100,170,GSM,185,CM,38,5.85,kg,1.84,meter,Stock,0,,0,,"stock fabric, have color cards",No,,100%Cotton,,,,,,,,,,,,,,,,,,,,,,,
KCN05200520,CN052,China,Zhongtian,8315,Knit,circular,,Slub Sweater Knit,VISCOSE,100,,,,,100,170,gsm,165,CM,38,5.85,kg,1.64,meter,Stock,0,,0,,"stock fabric, have color cards",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN05200521,CN052,China,Zhongtian,8340,Knit,circular,,slub jersey,cotton,97,spandex,3,,,100,187,gsm,165,CM,48,7.38,kg,2.28,meter,Stock,0,,0,,stock fabric,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN05300517,CN053,China,Wideplus,KTF015-PJ,Knit,circular,,Fleece,polyester,93,spandex,7,,,100,225,gsm,152,CM,33.4,5.14,yard,5.62,meter,Mill,0,kg,300,kg,300y/color,No,"with dyeing lot surcharge VAT1400/color,",93%polyester7%spandex,,,,,,,,,,,,,,,,,,,,,,,
KCN05300558,CN053,China,Wideplus,KE0054-1,Knit,circular,,fleece,polyester,100,,,,,100,165,GSM,150,CM,32,4.92,kg,1.22,meter,Mill,0,kg,300,kg,300kg/color,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN05400518,CN054,China,"JIANGYIN SHENLI INTERNATIONAL TRADE CO,LTD ",SL-106496,Knit,circular,,Double knit,polyester,60,cotton,40,,,100,170,gsm,150,CM,53,8.15,kg,2.08,meter,Mill,0,kg,500,kg,500kg/color,No,surcharge 500RMB/color for small lot dye.,60%polyester40%cotton,,,,,,,,,,,,,,,,,,,,,,,
KCN05400519,CN054,China,"JIANGYIN SHENLI INTERNATIONAL TRADE CO,LTD ",SL-105387,Knit,circular,,Fleece,polyester,100,,,,,100,270,gsm,148,CM,45,6.92,kg,2.77,meter,Mill,0,kg,500,kg,500kg/color,No,surcharge 500RMB/color for small lot dye.,100%polyester,,,,,,,,,,,,,,,,,,,,,,,
KCN05400557,CN054,China,"JIANGYIN SHENLI INTERNATIONAL TRADE CO,LTD ",SL-93470,Knit,circular,,Fleece,polyester,95,Spandex,5,,,100,250,GSM,160,CM,46,7.08,kg,2.83,meter,Mill,0,kg,500,kg,500kg/color,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN06200612,CN062,China,DE XUAN,LNK235,Knit,circular,,Jersey,bamboo,48,cotton,48,spandex,5,100,200,GSM,170,CM,58,8.92,kg,3.03,METER,Stock,0,,0,,"stock fabric with color cards, MCQ 25kg/color.",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN06200713,CN062,China,DE XUAN,SNK#002,Knit,circular,,Jersey,modal,95,Spandex,5,,,100,180,GSM,165,cm,63,9.69,kg,2.88,METER,Stock,0,,0,,stock fabric with color card,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN06200714,CN062,China,DE XUAN,LNK#214,Knit,circular,,Jersey,modal,95,Spandex,5,,,100,140,GSM,158,cm,68,10.46,kg,2.31,METER,Stock,0,,0,,stock fabric with color card,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN06200715,CN062,China,DE XUAN,LNK#229,Knit,circular,,Jersey,modal,95,Spandex,5,,,100,115,GSM,155,cm,79,12.15,kg,2.17,METER,Stock,0,,0,,stock fabric with color card,No,,,90%polyester10%Spandex,GK1044,,,,,,,,,,,,,,,,,,,,,
KCN06300613,CN063,China,CHUN YAN,Z40160160-11,Knit,circular,,Jersey,bamboo,67,cotton,28,spandex,5,100,170,GSM,180,CM,30,4.62,meter,,,Stock,0,,0,,"stock fabric with color cards, MCQ 25kg/color.",No,,,90%polyester10%Spandex,,,,,,,,,,,,,,,,,,,,,,
KCN06400698,CN064,China,OUKA,,Knit,circular,,Jersey,cotton,90,spandex,10,,,100,285,gsm,140,cm,,,,3.5,yard,Mill,500,kg,200,kg,"200kg/color,500KG/order",No,"Surcharge USD123/color  if less MCQ 200kg/color 
Surcharge USD308/order if less MOQ500kg/order.",,100%polyester,,,,,,,,,,,,,,,,,,,,,,
KCN06700641,CN067,China,QINYuan,160809#,Knit,circular,,Slub Jersey,rayon ,100,,,,,100,140,GSM,170,CM,44,6.77,kg,1.61,METER,Stock,0,,0,,stock fabric with digital color card,No,,,90%polyester10%Spandex,,,,,,,,,,,,,,,,,,,,,,
KCN06700642,CN067,China,QINYuan,188807#,Knit,circular,,Jersey,rayon ,95,Spandex,5,,,100,130,GSM,168,CM,43,6.62,kg,1.44,METER,Stock,0,,0,,stock fabric with digital color card,No,,,60%polyester40%cotton,,,,,,,,,,,,,,,,,,,,,,
KCN06800643,CN068,China,ZHI XIN DA,ZXD-0523,Knit,circular,,Slub Jersey,rayon ,100,,,,,100,140,GSM,168,CM,43,6.62,kg,1.56,METER,Stock,0,,0,,stock fabric with digital color card,No,,,88%polyester12%spandex,,,,,,,,,,,,,,,,,,,,,,
KCN07500665,CN075,China,Chengda,CHENGDA017,Knit,warp,,Ponte,nylon,95,spandex,5,,,100,325,gsm,160,cm,36,5.53,kg,3.36,METER,Stock,0,,0,,stock fabric 2015/06/20,No,,,100%polyester,,,,,,,,,,,,,,,,,,,,,,
KCN07800666,CN078,China,OTEX,LG1109S,Knit,circular,,Brushed Jersey,nylon,44,polyester,44,spandex,12,100,290,gsm,152,cm,75,11.54,kg,5.09,METER,Mill,,kg,150,kg,MCQ 150kg/color.,No,,,95%polyester5%spandex,,,,,,,,,,,,,,,,,,,,,,
KCN07800667,CN078,China,OTEX,,Knit,circular,,Jersey,polyester,87,spandex,13,,,100,290,gsm,150,cm,48,7.38,kg,3.21,METER,Mill,,kg,150,kg,MCQ 150kg/color.,No,,,90%polyester10%spandex,,,,,,,,,,,,,,,,,,,,,,
KCN07800671,CN078,China,OTEX,,Knit,circular,,Jersey,polyester,90,spandex,10,,,100,230,gsm,150,cm,50,7.69,kg,2.65,METER,Mill,,kg,150,kg,150kg/color,No,,,100%polyester,,,,,,,,,,,,,,,,,,,,,,
KCN07800672,CN078,China,OTEX,L2117DB,Knit,circular,,Brushed Jersey,polyester,87,spandex,13,,,100,280,gsm,150,cm,53,8.15,kg,3.42,METER,Mill,,kg,150,kg,150kg/color,No,,,92%polyester8%spandex,,,,,,,,,,,,,,,,,,,,,,
KCN07800673,CN078,China,OTEX,L21122,Knit,circular,,Jersey,polyester,82,spandex,18,,,100,320,gsm,150,cm,49,7.54,kg,3.62,METER,Mill,,kg,150,kg,150kg/color,No,,,80%cotton20%polyester,,,,,,,,,,,,,,,,,,,,,,
KCN07800692,CN078,China,OTEX,LC22159B,Knit,circular,,Jersey,polyester,88,spandex,12,,,100,210,gsm,150,cm,57,,,,,Mill,500,kg,150,kg,"500KG/order, 150kg/color",No,,,80%cotton20%polyester,,,,,,,,,,,,,,,,,,,,,,
KCN07800693,CN078,China,OTEX,L22078,Knit,warp,,Mesh,polyester,88,spandex,12,,,100,190,gsm,150,cm,,,,,,Mill,500,kg,150,kg,"500KG/order, 150kg/color",No,,,100%polyester,,,,,,,,,,,,,,,,,,,,,,
KCN07800694,CN078,China,OTEX,,Knit,warp,,Mesh,polyester,88,spandex,12,,,100,190,gsm,150,cm,49,,,,,Mill,500,kg,150,kg,"500KG/order, 150kg/color",No,,,100%polyester,,,,,,,,,,,,,,,,,,,,,,
KCN07800695,CN084,China,SUYOU,SU11-4,Knit,warp,,Mesh,polyester,100,,,,,100,150,gsm,180,cm,36,5.54,kg,1.5,METER,Stock,0,,0,,stock with color cards,No,,,100%polyester,,,,,,,,,,,,,,,,,,,,,,
KCN07800717,CN078,China,OTEX,LC2265DB,Knit,circular,,Jersey,polyester,90,Spandex,10,,,100,190,GSM,150,cm,56,8.62,kg,2.46,METER,Mill,300,kg,150,kg,"300KG/order, 150kg/color",No,,,75%polyester25%cotton,,,,,,,,,,,,,,,,,,,,,,
KCN07800718,CN078,China,OTEX,LC2265,Knit,circular,,Jersey,polyester,90,Spandex,10,,,100,190,GSM,150,cm,53,8.15,kg,2.32,METER,Mill,300,kg,150,kg,"300KG/order, 150kg/color",No,,,100%polyester,,,,,,,,,,,,,,,,,,,,,,
KCN08000578,CN080,China,JIA LI HUA,Sep-38,Knit,circular,,Striped Jersey,rayon ,80,polyester,20,,,100,120,gsm,180,cm,62,9.54,kg,1.99,yard,Stock,0,,0,,stock fabric with color card,No,,,65%polyester35%cotton,,,,,,,,,,,,,,,,,,,,,,
KCN08200686,CN082,China,PINNUO,PN371P608,Knit,circular,,Rib knit,rayon ,95,spandex,5,,,100,200,gsm,132,cm,48,7.38,kg,1.54,METER,Mill,,kg,150,kg,150kg/color,No,surcharge 600RMB/color for less MCQ,,100%cotton,,,,,,,,,,,,,,,,,,,,,,
KCN08200705,CN082,China,PINNUO,7433#,Knit,circular,,loop knit,rayon ,53,polyester,43,spandex,4,100,190,GSM,160,cm,40,6.15,kg,1.87,METER,Mill,500,kg,250,kg,"500KG/order, 250kg/color",No,,,100%cotton,,,,,,,,,,,,,,,,,,,,,,
KCN08200762,CN082,China,PINNUO,PN10214,Knit,circular,,Jersey,polyester,100,,,,,100,150,gsm,160,cm,,,,1.5,yard,Mill,500,kg,200,kg,"500kg/order,200kg/color",No,"800RMB surcharge for less MCQ,
 1000RMB surcharge for less MOQ",,100%cotton,,,,,,,,,,,,,,,,,,,,,,
KCN08300687,CN083,China,ONWAY,OW-K5815-M,Knit,circular,,Rib knit,rayon ,95,spandex,5,,,100,215,gsm,130,cm,55,8.46,kg,1.76,METER,Mill,,kg,150,kg,150kg/color,No,surcharge 600RMB/color for less MCQ,,86%polyester14%Spandex,,,,,,,,,,,,,,,,,,,,,,
KCN08300688,CN083,China,ONWAY,OW-K5554,Knit,circular,,Rib knit,rayon ,96,spandex,4,,,100,390,gsm,140,cm,43,6.62,kg,1.38,METER,Mill,,kg,150,kg,150kg/color,No,surcharge 600RMB/color for less MCQ,,92%polyester8%Spandex,,,,,,,,,,,,,,,,,,,,,,
KCN08300689,CN083,China,ONWAY,OW-K5643-M,Knit,circular,,3X3 Rib Knit,rayon ,95,spandex,5,,,100,245,gsm,121,cm,46,7.08,kg,1.47,METER,Mill,,kg,150,kg,150kg/color,No,surcharge 600RMB/color for less MCQ,,85%polyester15%spandex,,,,,,,,,,,,,,,,,,,,,,
KCN08300690,CN083,China,ONWAY,OW-K5672-M,Knit,circular,,Rib knit,rayon ,65,polyester,32,spandex,3,100,280,gsm,145,cm,40,6.15,kg,1.28,METER,Mill,,kg,150,kg,150kg/color,No,surcharge 600RMB/color for less MCQ,,92%polyester8%spandex,,,,,,,,,,,,,,,,,,,,,,
KCN08300745,CN086,China,TENGJUN,shepra,Knit,circular,,Sherpa,polyester,100,,,,,100,310,gsm,150,CM,17,2.62,meter,,,Stock,0,,0,,stock,No,,,87%polyester13%spandex,,,,,,,,,,,,,,,,,,,,,,
KCN08300766,CN083,China,ONWAY,CVC JERSERY,Knit,circular,,Jersey,cotton,60,polyester,40,,,100,155,gsm,160,cm,,,,1.35,METER,Mill,,kg,,kg,price 1.25USD/m for 20000m,No,,,87%polyester13%spandex,,,,,,,,,,,,,,,,,,,,,,
KCN08300767,CN083,China,ONWAY,TC interlock,Knit,circular,,Interlock,polyester,65,cotton,35,,,100,210,gsm,160,cm,,,,1.8,METER,Mill,500,kg,200,kg,"500kg/color,200kg/color",No,,,100%polyester,,,,,,,,,,,,,,,,,,,,,,
KCN08500700,CN085,China,YaZhuang,CVC Fleece,Knit,circular,,fleece,Cotton,85,polyester,15,,,100,310,GSM,160,CM,55,8.46,kg,4.2,METER,Mill,500,kg,250,kg,"500KG/order, 250kg/color",No,,,50%polyester38%cotton12%rayon,,,,,,,,,,,,,,,,,,,,,,
KCN08500710,CN085,China,YaZhuang,150479,Knit,circular,,Fleece,Cotton,60,polyester,40,,,100,260,GSM,160,cm,43,6.62,kg,2.75,METER,Mill,300,kg,100,kg,"300KG/order, 100kg/color",No,,,60%rayon35%nylon5%spandex,,,,,,,,,,,,,,,,,,,,,,
KCN08500721,CN085,China,YaZhuang,SM-TC6040,Knit,circular,,French Terry,polyester,60,cotton,40,,,100,310,GSM,160,cm,45,6.92,kg,3.43,METER,Mill,500,kg,250,kg,"500kg/order,250kg/color",No,surcharge 1000RMB for below 500kg.,,,,,,,,,,,,,,,,,,,,,,,,
KCN08500746,CN085,China,YaZhuang,FLEECE,Knit,circular,,French Terry,polyester,50,cotton,38,rayon ,12,100,290,gsm,145,CM,52,8.00,kg,3.36,METER,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN08600697,CN086,China,TENGJUN,TJ158#,Knit,circular,,Ponte,poly,95,Spandex,5,,,100,300,gsm,165,cm,30,4.62,meter,,,Stock,0,,0,,stock fabric with color card,No,,,100%polyester,,,,,,,,,,,,,,,,,,,,,,
KCN08700707,CN087,China,Jinqiu,#83016,Knit,circular,,Mesh,polyester,100,,,,,100,150,GSM,185,cm,29,4.46,kg,1.24,METER,Stock,0,,0,,stock fabric with color card,No,,,100%cotton,,,,,,,,,,,,,,,,,,,,,,
KCN08700711,CN087,China,Jinqiu,6-1026,Knit,circular,,Jersey,Cotton,100,,,,,100,140,GSM,185,cm,45,6.92,kg,1.79,METER,Stock,0,,0,,"stock fabric, has color card in drive",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN08700712,CN087,China,Jinqiu,6-453,Knit,circular,,Jersey,Cotton,100,,,,,100,160,GSM,165,cm,43,6.62,kg,1.75,METER,Stock,0,,0,,"stock fabric, has color card in drive",No,,,100%cotton,,,,,,,,,,,,,,,,,,,,,,
KCN08700723,CN087,China,Jinqiu,3-1392,Knit,circular,,Fleece,polyester,100,,,,,100,180,GSM,185,cm,26,4.00,kg,1.332,METER,Stock,0,,0,,stock fabric,No,,,60%cotton40%polyester,,,,,,,,,,,,,,,,,,,,,,
