SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD）,Cost UOM,Used when Cost in RMB/kg or RMB/yd is know to convert to USD/Mtr,Unit,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,,,,,,,,,,,,
KCN00200048,CN002,China,Zhongcheng Textile,MJG-09-025,Knit,circular,,jersey,cotton,100,,,,,100,145,gsm,165,cm,13.88,2.14,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200049,CN002,China,Zhongcheng Textile,ZWL-15-105,Knit,circular,,ponte,polyester,95,spandex,5,,,100,335,gsm,152,cm,24.87,3.83,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200050,CN002,China,Zhongcheng Textile,ZWL-13-188 (blue),Knit,circular,,French Terry,cotton,100,,,,,100,250,gsm,167,cm,23.01,3.54,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200051,CN002,China,Zhongcheng Textile,ZWL-13-188 (pink) ,Knit,circular,,French Terry,cotton,100,,,,,100,250,gsm,167,cm,23.01,3.54,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200052,CN002,China,Zhongcheng Textile,XT-3,Knit,circular,,jersey,viscose,96,spandex,4,,,100,200,gsm,152,cm,15.15,2.33,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200053,CN002,China,Zhongcheng Textile,MJQ-08-015,Knit,circular,,jersey,bamboo,65,cotton,30,spandex,5,100,200,gsm,152,cm,18.29,2.81,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200054,CN002,China,Zhongcheng Textile,XT-101,Knit,circular,,jersey,viscose,96,spandex,4,,,100,180,gsm,152,cm,13.42,2.06,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200055,CN002,China,Zhongcheng Textile,ZC-13-A,Knit,circular,,French Terry,cotton,96,spandex,4,,,100,250,gsm,190,cm,40.4,6.22,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200056,CN002,China,Zhongcheng Textile,JGR T276,Knit,circular,,Loop knit,polyester,100,,,,,100,150,gsm,152,cm,8.04,1.24,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200057,CN002,China,Zhongcheng Textile,C-06-003,Knit,circular,,mesh,polyester,100,,,,,100,175,gsm,154,cm,11.34,1.74,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200058,CN002,China,Zhongcheng Textile,QGJ-12-032M,Knit,circular,,French Terry,cotton,96,spandex,4,,,100,270,gsm,156,cm,25.66,3.95,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200059,CN002,China,Zhongcheng Textile,MHF-08-19,Knit,circular,,ponte,polyester,74,rayon,21,spandex,5,100,310,gsm,152,cm,23.1,3.55,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200060,CN002,China,Zhongcheng Textile,ZC-07-072,Knit,circular,,ponte,polyester,75,rayon,21,spandex,4,100,240,gsm,152,cm,18.25,2.81,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200061,CN002,China,Zhongcheng Textile,ZLP-10-02,Knit,circular,,ponte,polyester,96,spandex,4,,,100,250,gsm,156,cm,18.75,2.88,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200062,CN002,China,Zhongcheng Textile,WSJ-07-082,Knit,circular,,jersey,viscose,95,spandex,5,,,100,160,gsm,160,cm,13.59,2.09,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200063,CN002,China,Zhongcheng Textile,WLT-14-068A,Knit,circular,,ponte,rayon ,65,polyester,30,spandex,5,100,310,gsm,158,cm,29.1,4.48,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200064,CN002,China,Zhongcheng Textile,ZC-15-30,Knit,circular,,Piqué,Cotton,100,,,,,100,250,gsm,180,cm,24.16,3.72,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200065,CN002,China,Zhongcheng Textile,XT-46,Knit,circular,,jersey,bamboo,96,spandex,4,,,100,200,gsm,152,cm,18.29,2.81,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200066,CN002,China,Zhongcheng Textile,WLT-14-26,Knit,circular,,jersey,Cotton,100,,,,,100,160,gsm,180,cm,15,2.31,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200078,CN002,China,Zhongcheng Textile,ZJ-07-01,Knit,circular,,1X1 Rib Knit,cotton,54,polyester,46,,,100,360,gsm,152,cm,27.3,4.20,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200079,CN002,China,Zhongcheng Textile,ZWL-13-219,Knit,circular,,1X1 Rib Knit,polyester,100,,,,,100,230,gsm,170,cm,13.89,2.14,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200080,CN002,China,Zhongcheng Textile,JDC-10-010,Knit,circular,,ponte,polyester,75,rayon ,21,spandex,4,100,265,gsm,152,cm,19.35,2.98,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200081,CN002,China,Zhongcheng Textile,ZWL-08-023,Knit,circular,,jersey,polyester,65,cotton,35,,,100,150,gsm,162,cm,11.92,1.83,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200082,CN002,China,Zhongcheng Textile,MJG-10-29,Knit,circular,,brushed jersey,cotton,60,polyester,40,,,100,270,gsm,152,CM,24.55,3.78,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200083,CN002,China,Zhongcheng Textile,MJQ-08-B/C,Knit,circular,,jersey,bamboo,67,cotton,28,spandex,5,100,200,gsm,152,cm,18.9,2.91,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200084,CN002,China,Zhongcheng Textile,WLT-12-030,Knit,circular,,jersey,Cotton,93,spandex,7,,,100,240,gsm,180,cm,25.97,4.00,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200085,CN002,China,Zhongcheng Textile,MJG-09-12B,Knit,circular,,jersey,cotton,60,polyester,40,,,100,180,gsm,170,cm,15.64,2.41,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200200,CN002,China,Zhongcheng Textile,QM-11-05B,Knit,circular,,1X1 Rib Knit,Cotton,58,polyester,40,spandex,2,100,185,GSM,152,CM,17.05,2.62,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No, 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
