SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",,,,,,,,,,,
WIN03200293,IN032,India,ARTEX TRENDS,40115 / ( 1- 10 ),Woven,,,Solid Carbon Beach,cotton,100,,,,,100,140,gsm,56,inches,135,2.08,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40s x 40s / 132 x 100 Corbon Peach,,,,,,,,,,,
WIN03200294,IN033,India,SOHAM FASHIONS,418384A-K,Woven,,,Jacquard ,cotton,100,,,,,100,170,gsm,"56""",Inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40x 40 / 183 x 84,,,,,,,,,,,
WIN03200295,IN033,India,SOHAM FASHIONS,615612 A-S,Woven,,,Twill,cotton,100,,,,,100,80,gsm,56,inches,165,2.54,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60  Twill/157 x 112,,,,,,,,,,,
WIN03200296,IN033,India,SOHAM FASHIONS,817112 A-F,Woven,,,Twill,cotton,100,,,,,100,70,gsm,54,inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,piece Dyed 80 x 80 / ,,,,,,,,,,,
WIN03200297,IN033,India,SOHAM FASHIONS,614392A-E,Woven,,,Jacquard ,cotton,100,,,,,100,70,gsm,54,inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,Piece Dyed 60 x 60 142x92,,,,,,,,,,,
WIN03200298,IN033,India,SOHAM FASHIONS,620007/15/18/35,Woven,,,Linen/Cotton,Linen,55,cotton,45,,,100,110,gsm,56,inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,Linen /Cotton Blend 40x 40/112 x 50 ,,,,,,,,,,,
WIN03200299,IN033,India,SOHAM FASHIONS,614393 A-F,Woven,,,Jacquard ,Cotton,100,,,,,100,130,gsm,56,inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,Butta Design 40x40 ,,,,,,,,,,,
WIN03200300,IN033,India,SOHAM FASHIONS,525004BX&CX,woven,,,Jacquard ,cotton,100,,,,,100,125,gsm,56'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,Butta Design 40x40 /132x80 Giza Premium blend,,,,,,,,,,,
WIN03200301,IN033,India,SOHAM FASHIONS,881496 A-N,Woven,,,Poplin,Cotton,100,,,,,100,80,gsm,56'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,80s x 80 / 144 x 100 Piece Dyed Quality,,,,,,,,,,,
WIN03300303,IN029,India,WALKMAN SYNTHETICS,Super Fine Oxford,Woven,,,Oxford,Cotton,50,poly,50,,,100,150,gsm,58'',inches,98.00,1.51,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,2/80D x 2/30Ct/ 108 x 48,,,,,,,,,,,
